Year,Brunei_Darussalam,Cambodia,Indonesia,Lao_PDR,Malaysia,Myanmar,Philippines,Singapore,Thailand,Vietnam
1980,0,0,673,585,1927,0,774,5005,705,653
1981,0,0,737,335,1920,0,830,5672,745,319
1982,0,0,742,328,2006,0,843,6000,767,414
1983,0,0,659,585,2190,0,736,6718,824,613
1984,0,0,672,815,2420,0,678,7160,845,1044
1985,21771,0,658,998,2154,0,646,6788,772,319
1986,14544,26,610,678,1864,0,615,6871,840,706
1987,16561,17,563,465,2070,0,667,7795,968,857
1988,15281,33,622,294,2214,0,744,9329,1161,465
1989,16683,40,697,353,2381,0,817,10726,1338,123
1990,19429,100,771,406,2586,0,829,12763,1564,122
1991,20171,216,848,465,2885,0,830,14502,1769,141
1992,20680,252,908,518,3380,0,947,16136,1999,179
1993,20430,242,1013,567,3717,0,950,18290,2209,235
1994,21350,265,1116,642,4028,0,1095,21552,2491,286
1995,24896,320,1254,727,4672,0,1237,24915,2847,359
1996,24461,316,1394,739,5176,0,1316,26233,3044,419
1997,23344,302,1308,683,4997,0,1280,26376,2468,449
1998,17295,268,572,254,3521,116,988,21829,1846,448
1999,18237,294,830,265,3763,143,1112,21797,2031,465
2000,20473,300,870,317,4348,170,1087,23853,2004,499
2001,18646,320,834,318,4189,155,1004,21700,1890,513
2002,19038,338,1003,329,4442,149,1050,22160,2094,547
2003,20976,361,1187,397,4740,189,1063,23730,2357,610
2004,24760,406,1281,460,5245,227,1137,27608,2658,757
2005,29460,471,1404,526,5679,255,1261,29961,2890,873
2006,34869,536,1765,662,6355,284,1471,33768,3367,996
2007,36678,628,2064,787,7486,371,1765,39433,3974,1152
2008,42599,742,2418,969,8771,525,2012,40009,4373,1447
2009,31289,737,2465,1032,7550,632,1924,38927,4208,1481
2010,35437,788,3178,1187,9054,775,2237,47237,5074,1628
2011,47097,890,3689,1397,10414,1089,2473,53891,5494,1950
2012,47772,965,3745,1566,10815,1182,2721,55548,5863,2198
2013,44860,1035,3684,1814,10858,1210,2903,56967,6169,2370
2014,41947,1123,3534,1983,11172,1244,2996,57565,5952,2567
2015,31356,1203,3368,2124,9663,1224,3039,55646,5838,2582
2016,27318,1320,3606,2308,9544,1164,3108,56896,5995,2720
2017,28442,1448,3885,2437,9969,1177,3153,61165,6596,2958
2018,31076,1588,3947,2552,11086,1272,3280,66837,7296,3216
2019,29867,1736,4194,2603,11232,1302,3512,66070,7812,3439
2020,27174,1644,3932,2529,10361,1527,3326,61274,7171,3549
2021,31789,1680,4363,2496,11450,1217,3576,77710,7227,3753
2022,37667,1785,4798,2047,12364,1053,3623,82808,7651,4087
